paper,id,growth.temp,species,temp,phi.psii,topt.normalised,normalised.25
bernacchi,Bernacchi et al. (2003),25,n.tobaccum,10,0.538,0.766,0.785
bernacchi,Bernacchi et al. (2003),25,n.tobaccum,15.1,0.602,0.857,0.878
bernacchi,Bernacchi et al. (2003),25,n.tobaccum,20,0.653,0.93,0.953
bernacchi,Bernacchi et al. (2003),25,n.tobaccum,25,0.685,0.976,1
bernacchi,Bernacchi et al. (2003),25,n.tobaccum,29.9,0.702,1,1.025
bernacchi,Bernacchi et al. (2003),25,n.tobaccum,34.9,0.702,1,1.025
bernacchi,Bernacchi et al. (2003),25,n.tobaccum,37.4,0.697,0.992,1.017
bernacchi,Bernacchi et al. (2003),25,n.tobaccum,39.9,0.687,0.979,1.003
june,June et al. (2004),20,g.max,20,0.35,0.624,0.742
june,June et al. (2004),20,g.max,21.4,0.38,0.678,0.806
june,June et al. (2004),20,g.max,22.1,0.403,0.719,0.855
june,June et al. (2004),20,g.max,22.5,0.413,0.736,0.876
june,June et al. (2004),20,g.max,22.6,0.429,0.765,0.91
june,June et al. (2004),20,g.max,22.9,0.441,0.786,0.935
june,June et al. (2004),20,g.max,24.3,0.454,0.809,0.963
june,June et al. (2004),20,g.max,25.1,0.471,0.841,1
june,June et al. (2004),20,g.max,26.1,0.488,0.871,1.036
june,June et al. (2004),20,g.max,26.9,0.503,0.897,1.068
june,June et al. (2004),20,g.max,27.6,0.51,0.91,1.083
june,June et al. (2004),20,g.max,28.3,0.522,0.931,1.108
june,June et al. (2004),20,g.max,28.9,0.526,0.939,1.117
june,June et al. (2004),20,g.max,29.6,0.532,0.949,1.129
june,June et al. (2004),20,g.max,30.3,0.539,0.961,1.144
june,June et al. (2004),20,g.max,30.9,0.544,0.97,1.154
june,June et al. (2004),20,g.max,31.2,0.556,0.992,1.18
june,June et al. (2004),20,g.max,32.1,0.561,1,1.19
june,June et al. (2004),20,g.max,32.7,0.561,1,1.19
june,June et al. (2004),20,g.max,33.3,0.561,1.001,1.191
june,June et al. (2004),20,g.max,34.1,0.561,1.001,1.191
june,June et al. (2004),20,g.max,35.2,0.556,0.992,1.18
june,June et al. (2004),20,g.max,35.9,0.557,0.993,1.182
june,June et al. (2004),20,g.max,36.3,0.561,1,1.19
june,June et al. (2004),20,g.max,35.8,0.561,1.001,1.191
june,June et al. (2004),20,g.max,37.1,0.554,0.989,1.176
june,June et al. (2004),20,g.max,37.8,0.552,0.985,1.172
june,June et al. (2004),20,g.max,38.9,0.547,0.976,1.161
june,June et al. (2004),20,g.max,39.5,0.537,0.958,1.14
june,June et al. (2004),20,g.max,39.6,0.531,0.947,1.127
june,June et al. (2004),20,g.max,39.8,0.526,0.939,1.117
june,June et al. (2004),20,g.max,40.1,0.518,0.924,1.1
june,June et al. (2004),20,g.max,40.9,0.512,0.914,1.087
june,June et al. (2004),20,g.max,40.6,0.511,0.911,1.084
